# Decay widths of HNL for different channels. All values are renormalized widths Gamma/(M^5/(246.22^4*384*pi^3)) in GeV
# M(GeV),3nu,ee(e),ee(NC),emu,mumu(mu),mumu(NC),etau,mutau,tautau(
0.100,1.000,0.588,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.102,1.000,0.588,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.105,1.000,0.588,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.107,1.000,0.588,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.110,1.000,0.588,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.112,1.000,0.588,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.115,1.000,0.588,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.117,1.000,0.588,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.120,1.000,0.588,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.123,1.000,0.588,0.126,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.126,1.000,0.588,0.126,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.129,1.000,0.588,0.126,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.132,1.000,0.588,0.126,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.135,1.000,0.588,0.126,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.138,1.000,0.588,0.126,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.141,1.000,0.588,0.126,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.380,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.470,30.330,0.000,0.000
0.145,1.000,0.588,0.126,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.787,0.415,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.380,30.070,0.000,0.000
0.148,1.000,0.588,0.126,0.015,0.000,0.000,0.000,0.000,0.000,0.000,1.283,1.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.290,29.800,0.000,0.000
0.151,1.000,0.588,0.126,0.019,0.000,0.000,0.000,0.000,0.000,0.000,1.836,1.860,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.200,29.530,0.000,0.000
0.155,1.000,0.588,0.126,0.024,0.000,0.000,0.000,0.000,0.000,0.000,2.420,2.803,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.100,29.260,0.000,0.000
0.158,1.000,0.588,0.126,0.030,0.000,0.000,0.000,0.000,0.000,0.000,3.015,3.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.010,28.980,0.000,0.000
0.162,1.000,0.588,0.126,0.036,0.000,0.000,0.000,0.000,0.000,0.000,3.604,4.871,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.910,28.690,0.000,0.000
0.166,1.000,0.588,0.126,0.043,0.000,0.000,0.000,0.000,0.000,0.000,4.176,5.924,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.810,28.400,0.000,0.000
0.170,1.000,0.588,0.126,0.051,0.000,0.000,0.000,0.000,0.000,0.000,4.720,6.956,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.708,28.100,0.000,0.000
